Itr,train-PolicyExecTime,LossBefore,Time-Sampling,train-EnvExecTime,n_timesteps,train-NumTrajs,train-MaxReturn,train-MinReturn,train-AverageDiscountedReturn,Time-Optimization,train-AverageReturn,Time-SampleProc,Time,ItrTime,LossAfter,train-StdReturn
221,21.89741849899292,1.2207031e-08,25.92144012451172,3.6026551723480225,2220000,100,248.05023009663444,173.04614312654806,400.84514237862294,1.6160261631011963,211.318645784022,0.04733920097351074,7820.2263770103455,27.586254119873047,-0.0064726165,15.607909308359623
222,21.87830352783203,1.9836426e-08,25.873903274536133,3.5719070434570312,2230000,100,258.2369647527929,109.52502498923046,398.7950834658866,1.8263030052185059,209.22299061793615,0.056295156478881836,7848.0030789375305,27.757792949676514,-0.00768629,23.892257831041746
223,31.396287202835083,-6.1035155e-09,36.285903215408325,4.325324773788452,2240000,100,248.09096712956796,111.060941828978,400.4852637711454,2.2189419269561768,209.91193630635152,0.0856330394744873,7886.743782997131,38.71850514411926,-0.016879238,20.290201657564033
224,1533.6314656734467,-3.0517577e-09,1538.969307899475,4.794684171676636,2250000,100,259.93653451112357,145.49447684351523,402.5557882454652,10.069626092910767,212.50287024613968,0.9602639675140381,9436.782696962357,1550.0057821273804,-0.007890804,17.571567692208713
225,90.41459727287292,-0.0008702118,96.19663119316101,5.187134265899658,2260000,100,255.74420838352177,164.65653078771837,402.273544638346,2.833193063735962,212.3886271033925,0.15865707397460938,9539.03193306923,99.18971180915833,-0.009718589,15.065919123285324
226,53.89842867851257,1.373291e-08,58.99183106422424,4.509437561035156,2270000,100,257.22646859067606,148.40748303640677,403.2622471869415,2.071457862854004,211.93078772743777,0.10158705711364746,9600.23064994812,61.165297746658325,-0.006768515,20.430192713355137
227,36.42638158798218,3.6621095e-08,41.37755274772644,4.415724277496338,2280000,100,241.16651783222102,110.04998546516775,396.4668282357296,1.8454010486602783,208.19241265798485,0.05443978309631348,9643.532953977585,43.278674840927124,-0.014389444,18.722053976609672
228,23.611864805221558,2.822876e-08,27.652848958969116,3.6205942630767822,2290000,100,254.26399545657083,139.72710287051314,394.55793779758585,1.7900559902191162,207.57192867160848,0.05149531364440918,9673.050552129745,29.495163202285767,-0.01158871,20.349276741465978
229,26.16573977470398,-9.155274e-09,30.445476055145264,3.817277431488037,2300000,100,251.7096240840427,-69.87066913817259,390.8008035516538,2.02284574508667,206.21285486237684,0.06447005271911621,9705.604046106339,32.53347992897034,-0.016049657,34.82321178474521
230,69.35459065437317,-1.2207031e-08,74.81138610839844,4.875808000564575,2310000,100,249.19635430493386,-0.04357333075147096,389.8172610006088,3.9266748428344727,204.4582856837678,0.10010170936584473,9784.465903043747,78.83916091918945,-0.009483514,27.972074160282173
231,46.73856806755066,-3.051758e-08,51.86468291282654,4.589882850646973,2320000,100,245.09264191829146,-19.34999601955098,376.92873478946314,2.156464099884033,198.58156296358334,0.053526878356933594,9839.427536010742,54.922565937042236,-0.01192237,38.14459164818508
232,25.044374704360962,-2.1362304e-08,29.21744680404663,3.6917245388031006,2330000,100,246.64756822011924,81.64375922877808,389.20741585888675,1.817878007888794,203.06542025331188,0.057106971740722656,9870.543542146683,31.092987060546875,-0.009085425,29.385431128504273
233,46.4718713760376,9.155274e-09,51.60590100288391,4.60001540184021,2340000,100,253.2924545975126,149.33339384602945,397.69271367164737,2.071235179901123,208.6908707438604,0.05286407470703125,9924.296875,53.7314510345459,-0.014055795,19.177444158114202
234,34.41018009185791,-0.00039423216,39.161160945892334,4.223610162734985,2350000,100,242.13594737832392,165.02857284353465,406.01145317704504,2.075378894805908,213.84810694794461,0.048976898193359375,9965.613998174667,41.286962270736694,-0.010491791,16.83553668386428
235,23.988240242004395,3.051758e-08,28.13436794281006,3.700518846511841,2360000,100,248.2865997732141,154.84648874533093,403.5012520044882,2.158140182495117,212.55148638933736,0.05141305923461914,9995.982368946075,30.345920085906982,-0.015675332,17.81047420489923
236,23.76556372642517,-7.629395e-09,27.835416078567505,3.631314754486084,2370000,100,247.16884105125484,-57.88463115600697,400.89100639460463,1.9144551753997803,210.86133309881413,0.05039381980895996,10025.804463863373,29.80066680908203,-0.0075758775,33.65485252611339
237,22.364910125732422,-2.3651124e-08,26.347352027893066,3.557455539703369,2380000,100,243.70254075693816,10.951289783623414,399.93375766441625,1.804560899734497,210.1266142492864,0.05444788932800293,10054.032521009445,28.206763982772827,-0.0073014693,25.833808801226485
238,47.12564778327942,-4.2724608e-08,52.35299801826477,4.587754011154175,2390000,100,251.8605097238969,91.31020303039249,398.6023174420167,2.3689019680023193,209.2036679811079,0.3699488639831543,10109.145586967468,55.092430114746094,-0.009212979,21.845364299511452
239,23.49700665473938,-1.8310548e-08,27.579214096069336,3.6607956886291504,2400000,100,260.4331278605462,160.85231549423696,411.0349523730726,1.8335607051849365,216.32672188155877,0.04694819450378418,10138.633749961853,29.46021819114685,-0.006963153,15.988632544251507
240,21.873433828353882,6.1035155e-09,25.86054801940918,3.570284605026245,2410000,100,256.88149415362034,14.719885008530891,398.0041346334537,1.767125129699707,209.48344746079914,0.06065201759338379,10166.34369301796,27.68870210647583,-0.009903119,29.396104643805618
241,22.233710527420044,2.1362304e-08,26.20450496673584,3.541010618209839,2420000,100,245.1246073951996,149.23426269533473,410.29920319911196,1.6070661544799805,216.37403447791053,0.05122089385986328,10194.228449106216,27.8631489276886,-0.0143959625,17.19545356528368
242,24.527812719345093,-4.119873e-08,28.77349591255188,3.8000054359436035,2430000,100,248.9880436179549,170.75208341847247,403.59338139075305,2.2055132389068604,212.1630842360379,0.051249027252197266,10225.283602952957,31.030674934387207,-0.012540947,15.281893972963937
243,32.923900842666626,-5.0354004e-08,37.87119197845459,4.425078630447388,2440000,100,252.68882961572692,162.7396230041109,404.97778961821115,4.904450178146362,213.79262948913288,0.10477519035339355,10268.186661958694,42.881043910980225,-0.007507189,15.56776089497033
244,34.807549476623535,1.373291e-08,39.28663778305054,3.995553731918335,2450000,100,251.0656474287547,114.56153761426933,403.35877980040146,1.8082501888275146,212.35358278474564,0.05973196029663086,10309.4579808712,41.245519161224365,-0.014513477,21.829803465273322
245,22.50766611099243,-4.2724608e-08,26.474690914154053,3.5348901748657227,2460000,100,245.51831501351978,142.9841800322281,401.8956260442724,1.8030939102172852,212.42423187702215,0.04712104797363281,10337.805422067642,28.325350046157837,-0.013007508,17.362723760849892
246,21.838342666625977,-9.155274e-09,25.78098702430725,3.519301176071167,2470000,100,248.31803596734457,-5.138141127451192,397.3381361245229,1.6553778648376465,209.51105996600353,0.04681897163391113,10365.30852508545,27.483521938323975,-0.015836872,27.330545824487654
247,22.85012674331665,-3.3569336e-08,26.803596019744873,3.532534599304199,2480000,100,251.52124509472776,144.33698045542394,405.5764921141374,1.919616937637329,213.65901707336096,0.05743098258972168,10394.112313985825,28.780988931655884,-0.005306845,16.740771531906134
248,22.427318334579468,1.8310548e-08,26.722587823867798,3.863926649093628,2490000,100,242.14007820527596,19.480619477927515,398.21393370472947,1.7505548000335693,209.3298684580607,0.04728388786315918,10422.657068014145,28.521800994873047,-0.0106659485,26.507297412119268
249,21.863462686538696,9.918213e-09,25.824294090270996,3.5430119037628174,2500000,100,241.3455039115296,150.05702963274962,403.9663424897549,1.7525930404663086,212.31530467776975,0.048742055892944336,10450.305922031403,27.626132011413574,-0.005435994,17.812775717872057
250,22.196715593338013,-6.866455e-09,26.302544832229614,3.5440471172332764,2510000,100,244.46452590193962,161.37749197835655,403.8124439379938,1.7702689170837402,212.3293249536179,0.07196307182312012,10478.471487045288,28.14520502090454,-0.017475205,17.147542808514494
251,22.802125930786133,4.1210937e-05,26.853447198867798,3.6186106204986572,2520000,100,240.85954530175528,163.53466641183616,402.27851319766324,1.751612901687622,211.8547564323899,0.047496795654296875,10507.147258996964,28.653947830200195,-0.0060010315,15.781309061410479
252,22.058584213256836,1.525879e-08,26.134577989578247,3.577784776687622,2530000,100,244.03404134271696,161.60425362166663,401.7832160601487,1.8405301570892334,211.88352178585146,0.047509193420410156,10535.194437980652,28.023059844970703,-0.020097623,16.633847862008437
253,21.681580543518066,5.3405763e-08,25.64809012413025,3.54459285736084,2540000,100,270.02659309182104,131.4008258448002,401.81762746173604,1.6769499778747559,212.00717428201133,0.06131720542907715,10562.602727890015,27.38677406311035,-0.015227646,17.920331616611097
254,23.70502233505249,-0.0008291382,27.75444769859314,3.602926015853882,2550000,100,248.35534628189023,168.75308115173974,403.76688481609506,1.740250825881958,212.73996374863472,0.04932665824890137,10592.169324159622,29.544735193252563,-0.014525488,15.66029825298294
255,22.99929189682007,-4.119873e-08,26.99977707862854,3.585082530975342,2560000,100,256.759051472968,175.93088058160876,408.8910136411851,1.9245209693908691,215.91946695649438,0.06631803512573242,10621.183042049408,28.991232872009277,-0.012800272,15.445553563988451
256,23.62256097793579,2.1362304e-08,27.815834760665894,3.728975296020508,2570000,100,243.15642105970042,167.63662811043667,402.42140061102407,1.8212018013000488,212.6318935738899,0.04755902290344238,10650.891647100449,29.68617296218872,-0.019299319,14.121240040325892
257,21.870556354522705,-1.2207031e-08,25.80695390701294,3.504809856414795,2580000,100,244.73887480937123,152.53188139114073,407.3121033683227,1.6006951332092285,214.73073449523088,0.05257701873779297,10678.38870882988,27.461137056350708,-0.0056819976,14.59174255487667
258,21.85835862159729,-3.0517577e-09,25.71272087097168,3.443444013595581,2590000,100,248.70173979437038,140.487156343349,406.1201690043968,1.7683069705963135,214.22140008892825,0.060170888900756836,10705.952493190765,27.542505979537964,-0.008077231,17.481206083772545
259,21.46154236793518,-1.5258789e-09,25.38975739479065,3.4560317993164062,2600000,100,247.37640725690588,91.34157489165833,401.58312464121826,1.7078101634979248,211.69569356223786,0.04543304443359375,10733.120559215546,27.144331693649292,-0.01243455,19.47997389664133
260,21.558008670806885,2.1362304e-08,25.404375791549683,3.4335010051727295,2610000,100,244.73398491216977,118.3564264603795,401.9119347642413,2.1582748889923096,211.65431200679245,0.05105900764465332,10760.762599945068,27.619748830795288,-0.0074158325,18.9574697766703
261,21.9837543964386,-5.493164e-08,25.919750928878784,3.528007745742798,2620000,100,249.1700035794506,17.277263286384855,398.9473189953195,1.5582630634307861,210.6018132904867,0.05083513259887695,10788.31541109085,27.530205011367798,-0.008524847,26.870163555932702
262,21.87381672859192,1.2207031e-08,25.846131086349487,3.5437865257263184,2630000,100,259.49910371968065,177.3477846962992,406.2697817599245,1.6880700588226318,214.53831325717235,0.04826498031616211,10815.92306303978,27.585164070129395,-0.010175378,17.00376258784168
