n_timesteps,train-AverageReturn,train-NumTrajs,Time-Sampling,Time,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,Time-SampleProc,LossAfter,train-EnvExecTime,LossBefore,Time-Optimization,Itr,ItrTime,train-PolicyExecTime,train-MaxReturn
380000,5.418439224783314,100,16.503641366958618,619.2494843006134,35.232582482419545,12.552986805019088,-104.82374672892361,0.13964486122131348,0.015713511,2.88102126121521,0.05117175,0.6145515441894531,37,17.258074283599854,13.34512710571289,104.98392242141799
390000,1.5369569237970853,100,14.705137252807617,634.8081922531128,27.98383156313842,6.993051637473525,-57.98480310581664,0.14489293098449707,0.041702922,2.743314027786255,0.064850524,0.6798121929168701,38,15.530064582824707,11.703470945358276,74.35805014139152
400000,9.260504298035283,100,16.016794204711914,651.5520353317261,28.6798866600015,21.763880042560963,-80.43552373451011,0.1414632797241211,0.015614952,2.839848518371582,0.050710827,0.5257716178894043,39,16.685599327087402,12.910590410232544,72.63515870020457
410000,-0.11250809392027925,100,14.425180435180664,666.6707513332367,33.76258702896886,4.789648173373159,-112.9605389526247,0.06737017631530762,0.037081093,2.757434844970703,0.065332085,0.6077654361724854,40,15.100563764572144,11.385308265686035,99.3009024685017
420000,7.319771064905401,100,14.623698472976685,682.0422291755676,31.511705740380275,18.256225517550128,-67.52839245590536,0.15015721321105957,0.02946185,2.7001562118530273,0.058714606,0.5642609596252441,41,15.33835744857788,11.660118818283081,93.96746621524245
430000,14.189602016030936,100,16.47119903564453,699.187726020813,28.45051443945208,28.49819808054873,-55.43332531590899,0.10975146293640137,0.032236036,2.9788529872894287,0.061060034,0.5425808429718018,42,17.123759746551514,13.156028270721436,96.4446904770237
440000,3.7596008863399835,100,16.856980562210083,716.8768560886383,34.90592994626104,13.310210431275607,-88.89317019246853,0.13330292701721191,0.019082932,2.8390328884124756,0.05452641,0.6675581932067871,43,17.658081531524658,13.73385739326477,92.25353016894876
450000,4.336934436163791,100,14.38935136795044,731.9745552539825,30.643684311831628,10.852045787045798,-80.47724262239959,0.09677267074584961,0.039715447,2.783996820449829,0.06802227,0.584050178527832,44,15.070416688919067,11.291319608688354,87.11181545481493
460000,8.359737028400898,100,12.988218784332275,745.7045571804047,28.58380580914117,18.957680049436693,-70.15876989921313,0.14452481269836426,0.03393475,2.7232282161712646,0.06103224,0.5732555389404297,45,13.70650577545166,9.95884084701538,68.6690554262764
470000,3.159863769291161,100,16.2180073261261,762.6825368404388,38.75723101841996,9.217252144886096,-110.27543039600955,0.12376046180725098,0.014387753,2.7637979984283447,0.045022912,0.5985720157623291,46,16.94105839729309,13.185012578964233,82.14571087587449
480000,4.847994606959125,100,15.481790542602539,778.9420475959778,31.268005732648042,11.912986359710839,-86.73818532092486,0.12819838523864746,0.017244386,2.9158921241760254,0.04856537,0.6334123611450195,47,16.243671894073486,12.285471439361572,64.33915644783598
490000,8.151817026224183,100,16.108948707580566,795.8222117424011,32.900356299223766,19.816672808044412,-89.98099006878785,0.1464080810546875,0.017848104,2.8288660049438477,0.05065473,0.5977482795715332,48,16.862786769866943,13.002555131912231,83.23688446264164
500000,5.671396024437716,100,15.798264741897583,812.337973356247,36.548086672764086,13.271560781745325,-87.08711394916104,0.10165619850158691,0.038575083,2.858257532119751,0.07045356,0.5913193225860596,49,16.491512298583984,12.647112607955933,123.91774879375316
