train-MinReturn,n_timesteps,train-AverageReturn,LossAfter,Time-Optimization,Time-Sampling,train-EnvExecTime,train-MaxReturn,LossBefore,train-PolicyExecTime,train-AverageDiscountedReturn,train-NumTrajs,Time,train-StdReturn,ItrTime,Itr,Time-SampleProc
-143.39543417567776,650000,-140.22619953293253,-0.86848146,3.846472978591919,193.40031790733337,4.545242786407471,-134.90359579813415,-0.002900978,188.45409512519836,-309.42031072248466,100,12127.782698869705,1.5309124210481764,197.28218293190002,64,0.021349191665649414
-143.6268017928813,660000,-140.2407056722719,-0.8733456,5.029367923736572,194.20300006866455,4.550952196121216,-134.66266450746207,0.0031828084,189.24824452400208,-309.43149046828273,100,12327.166620731354,1.6594493502922436,199.36302995681763,65,0.13004398345947266
-142.69594433447284,670000,-140.17483996849052,-0.88356084,3.2241928577423096,187.77616810798645,4.580376863479614,-137.15292968717432,-0.0029098443,182.79138112068176,-309.29156084731966,100,12518.287987947464,1.4250209894655617,191.02232909202576,66,0.01918315887451172
-143.14128644020826,680000,-140.25545353967527,-0.8405555,4.084256887435913,182.1867709159851,4.751793146133423,-137.65652524265838,0.0019945554,177.020250082016,-309.4974408012852,100,12704.60507106781,1.390500940079679,186.2939372062683,67,0.02148270606994629
-142.7878121548449,690000,-140.35341086611936,-0.893138,4.657582998275757,183.7647397518158,4.591974496841431,-137.3060990055966,-0.020228837,178.7722451686859,-309.65974052056794,100,12893.076861858368,1.4598775530075383,188.45012092590332,68,0.027369976043701172
-142.67915416168339,700000,-140.22861554462082,-0.87195647,3.3322129249572754,172.81241130828857,4.530549764633179,-137.25834313429607,0.0006204407,167.8740975856781,-309.46688092206057,100,13069.264016151428,1.3603824432122937,176.1651360988617,69,0.017523765563964844
-143.25835779395285,710000,-139.88616665010878,-0.86460155,2.756635904312134,176.95197296142578,4.640186548233032,-136.26809123649025,-0.0010317505,171.84387803077698,-308.7039207561639,100,13249.022570848465,1.4739557620205623,179.73665595054626,70,0.026738882064819336
-143.31062850447668,720000,-140.3074807399806,-0.88774014,2.7482731342315674,178.48488402366638,4.740911960601807,-135.52072763807735,-0.0013496842,173.33628940582275,-309.61639573474633,100,13430.301313877106,1.470959814698046,181.25720024108887,71,0.023680925369262695
-143.44510134459466,730000,-140.60467327315902,-0.9062709,3.3211941719055176,179.14031434059143,4.58400559425354,-137.68945015838503,-0.00273088,174.15330338478088,-310.17268480348264,100,13612.805949926376,1.359516933490265,182.48264074325562,72,0.019285917282104492
-143.53987493849388,740000,-140.22102509436098,-0.9087719,3.388770818710327,182.58499693870544,4.52681565284729,-137.19149246511589,-0.00043843233,177.6544816493988,-309.3654880726099,100,13798.912431001663,1.4827960469840085,186.0876121520996,73,0.1105496883392334
