train-AverageDiscountedReturn,train-MinReturn,LossAfter,Time-SampleProc,Time-Sampling,train-EnvExecTime,train-MaxReturn,train-PolicyExecTime,train-NumTrajs,Time,train-AverageReturn,n_timesteps,Time-Optimization,LossBefore,ItrTime,Itr,train-StdReturn
137.07322292896473,48.42255131434765,-0.6171381,0.03225111961364746,158.36039400100708,4.632741689682007,103.93229061756216,153.33397364616394,100,18110.805147886276,75.60927776976249,950000,3.1813759803771973,-0.01528634,161.57531595230103,94,10.230896978162054
136.26410102004246,56.217049095397726,-0.75804454,0.03152203559875488,157.89784002304077,4.854605436325073,103.65015351019332,152.64615392684937,100,18273.216042995453,75.14703736091415,960000,4.441025972366333,0.016623694,162.37381076812744,95,9.903453264805446
130.76083773471586,49.23872759100712,-1.2048564,0.0321049690246582,158.46771597862244,5.009809732437134,101.63831322778096,152.91282606124878,100,18434.946940898895,72.59938199411775,970000,3.20945405960083,-0.01531366,161.71125388145447,96,9.534265332272355
131.04805712675198,43.02990558961052,-1.9191619,0.024624109268188477,151.8067901134491,4.708289623260498,91.87863416526488,146.70547366142273,100,18590.57849597931,72.63647468463233,980000,3.690034866333008,-0.0029776306,155.52477884292603,97,9.893943423084318
134.6190248931461,52.935272447464556,-2.994608,0.020704030990600586,156.22194004058838,4.9172093868255615,95.14097692693092,150.83146357536316,100,18749.843884944916,74.19716431315346,990000,2.9993929862976074,0.0043515367,159.24263978004456,98,8.795706939114357
128.1296563684735,56.3688293943303,-7.219957,0.024472951889038086,150.75312423706055,4.675285816192627,87.94343659592523,145.68903708457947,100,18904.342062950134,71.10240177260184,1000000,3.674720048904419,-0.012731726,154.45377683639526,99,8.451774455642747
120.98065453867511,51.9136972403588,-16.364824,0.019881248474121094,156.69932174682617,4.785421371459961,97.93187352552287,151.51604175567627,100,19064.442252874374,67.8559655175672,1010000,3.358353853225708,-0.008174636,160.07906484603882,100,9.045506585678753
115.89901984548811,54.34808658507122,-54.28541,0.018678903579711914,172.05348777770996,4.812441825866699,84.14850783513594,166.83713746070862,100,19240.1444439888,65.47751725887683,1020000,3.609706163406372,-0.00042811583,175.68378114700317,101,7.043363729514243
111.5222136961057,51.94149410697784,-177.85852,0.019560813903808594,159.10035514831543,4.710811138153076,80.24697807148749,153.96423268318176,100,19402.61769104004,63.359314961379106,1030000,3.333089828491211,0.013943304,162.4544539451599,102,5.971680401441342
95.18432201753059,49.523940307523894,-797.6927,0.020400047302246094,151.3432421684265,4.612346887588501,64.37167988185162,146.32327604293823,100,19558.27761888504,56.218027831723475,1040000,4.276014089584351,0.0067141694,155.6412410736084,103,3.0457572137521844
70.38888112976427,-12.603629407788102,-520.6795,0.019389867782592773,148.59560298919678,4.747815847396851,91.84962804559575,143.41593885421753,100,19710.940489053726,46.41614440856263,1050000,4.0240418910980225,-0.003851703,152.6419219970703,104,18.736751845232888
-108.2702748922969,-57.701136803553304,-1457.9576,0.051512956619262695,171.06759405136108,5.35072922706604,22.80365642196222,165.2666883468628,100,19886.031436920166,-40.122330338550704,1060000,3.9495229721069336,0.017781429,175.0695297718048,105,17.414940177785066
-260.26026960075035,-163.3186322040071,-643.66833,0.03511190414428711,237.42677664756775,6.577705144882202,-69.44509188267403,230.26677131652832,100,20128.444500923157,-124.91357032496344,1070000,4.902959108352661,-0.015567737,242.36587619781494,106,43.41203942544757
-387.1998081236384,-198.28029789927686,-0.23555517,0.19769287109375,209.5357928276062,6.127626419067383,-188.30458149532046,202.91904497146606,100,20341.84734606743,-196.78553321548185,1080000,3.6370160579681396,-0.005284344,213.37304711341858,107,1.0121259138604728
-386.9666272008007,-197.96876879620982,-0.15004106,0.04430890083312988,183.82613897323608,6.189769506454468,-183.98182712043803,177.1169204711914,100,20528.847735881805,-196.61951350054562,1090000,3.106761932373047,0.006168749,186.97897291183472,108,1.3737477144711352
-386.44607788920416,-198.1372004956043,-0.054141138,0.02577495574951172,118.65097188949585,5.692703485488892,-183.51949634124946,112.49369764328003,100,20650.39520382881,-196.33666397410903,1100000,2.8246920108795166,0.008005333,121.50295305252075,109,2.1366249699496143
-384.70245415587556,-198.24961329408984,-0.028198563,0.030271291732788086,134.74959778785706,5.646247863769531,-87.53261563773786,128.59096431732178,100,20788.770189762115,-195.47724124987445,1110000,3.5640690326690674,-0.0058463714,138.3470778465271,110,10.921412991764017
-384.68927508325265,-197.89357648738496,-0.03229513,0.023176193237304688,148.14566683769226,5.63045334815979,-86.4496289342445,142.05280900001526,100,20939.872179031372,-195.4778660295564,1120000,2.9040579795837402,-0.015705854,151.07548785209656,111,11.039986957156787
-387.12753357640196,-198.0031602576379,-0.04042681,0.03444314002990723,126.22113513946533,5.628028154373169,-187.02890111093456,120.04308819770813,100,21068.96758198738,-196.74173924359323,1130000,2.816406011581421,-0.019455671,129.07278418540955,112,1.1193318923417013
-386.4213841079373,-197.84059988392312,-0.0047273217,0.05327105522155762,106.33954310417175,5.247784376144409,-185.62954027694613,100.65380644798279,100,21179.07456278801,-196.3544432791594,1140000,3.691141128540039,0.0051671076,110.08493494987488,113,1.9236265852751966
-386.7227811800038,-198.28814589751886,-0.017521832,0.020672082901000977,128.56582903862,5.935726881027222,-184.52240063535243,122.07533359527588,100,21311.188085079193,-196.5155087540156,1150000,3.505474090576172,-0.007496913,132.09253668785095,114,1.610747292819318
-387.3836478181931,-198.12166218826292,-0.0017035019,0.046819210052490234,126.47888684272766,5.599407196044922,-195.5308446274339,120.39839267730713,100,21440.518930912018,-196.87423074948885,1160000,2.7833168506622314,0.004002043,129.31028604507446,115,0.5371820876248661
-386.9020344174523,-197.82107761993112,0.018972458,0.2098550796508789,107.68207097053528,5.445707559585571,-183.28742987449948,101.78345346450806,100,21550.842288017273,-196.5845624215651,1170000,2.4022488594055176,0.018663641,110.29500222206116,116,1.5421942528226735
-386.3566149078761,-198.05393193056537,0.018753007,0.02089715003967285,107.68387293815613,5.2667248249053955,-183.56642083760912,101.96952247619629,100,21661.00551199913,-196.2987325771328,1180000,2.4365010261535645,0.019545078,110.14178204536438,117,2.21041034375393
-387.42815775728474,-198.0721474934994,0.0071791387,0.02233099937438965,105.80474376678467,5.045657634735107,-195.67543078723006,100.34836220741272,100,21769.590243816376,-196.9117876704939,1190000,2.734699010848999,0.007391536,108.56217813491821,118,0.5080559294941089
-387.0048528121021,-198.17876466426995,-0.013957803,0.04277610778808594,100.96165585517883,4.964809894561768,-188.52595566005004,95.55184173583984,100,21873.18422794342,-196.64925831611106,1200000,2.5675241947174072,-0.013403883,103.57333874702454,119,1.032653650437804
-387.2437655377476,-198.1207195033432,-0.00045769653,0.022463083267211914,102.38992094993591,4.9498820304870605,-195.56542452386643,97.03146815299988,100,21978.21652007103,-196.79585179886283,1210000,2.597400188446045,3.5292054e-05,105.01111316680908,120,0.5102342308716061
-387.18674039633,-198.31171073723982,-0.029090308,0.020838260650634766,99.66622996330261,4.949916362762451,-193.9874575382785,94.30574440956116,100,22080.454998016357,-196.76706629860456,1220000,2.528110980987549,-0.029093653,102.21666193008423,121,0.6189810341292061
-386.96126246993595,-198.36353998454015,0.009021549,0.02085089683532715,103.53852963447571,4.952519416809082,-191.0058460572519,98.18130350112915,100,22186.55761194229,-196.63450575347957,1230000,2.523529052734375,0.009217735,106.08478498458862,122,0.9299602692873359
-386.98527741890496,-198.17951095459676,-0.010503338,0.020689010620117188,103.87846684455872,5.042964458465576,-185.18423568166526,98.41835713386536,100,22293.394080877304,-196.65606293412532,1240000,2.915715217590332,-0.0105255265,106.81623482704163,123,1.3374219472347582
-386.9218725560319,-197.8499076016603,-0.001557536,0.023140907287597656,102.61184906959534,5.038627862930298,-189.30449752956113,97.15537977218628,100,22398.361792087555,-196.613565017651,1250000,2.3064961433410645,-0.0014277207,104.94371771812439,124,1.0836182504796352
-384.7457069591725,-198.013082394907,0.007197092,0.01889801025390625,103.65401601791382,4.973849773406982,-86.5173739524082,98.21948885917664,100,22504.805953741074,-195.53230286201645,1260000,2.748656749725342,0.007371679,106.4234869480133,125,11.060239784512273
-387.03853756073846,-198.28070717792713,-0.021223336,0.020846128463745117,102.72390484809875,4.906435966491699,-190.39251065578776,97.33189654350281,100,22610.219084739685,-196.69025982875937,1270000,2.648144006729126,-0.020872531,105.39430689811707,126,1.026036896013028
-386.75960000727895,-197.90979641056873,0.027090637,0.04817819595336914,102.00361824035645,5.0227227210998535,-184.7989784054517,96.5740168094635,100,22715.09425497055,-196.5436776415243,1280000,2.8012402057647705,0.02738736,104.85345506668091,127,1.8251431139709946
