n_timesteps,train-MaxReturn,Itr,train-StdReturn,Time,ItrTime,train-EnvExecTime,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,train-NumTrajs,LossAfter,Time-SampleProc,train-AverageReturn,LossBefore,train-PolicyExecTime,train-MinReturn
940000,-59.1113949756982,93,1.1658003281492475,4913.305624961853,28.484479904174805,4.489692449569702,-106.31230050004824,2.568894147872925,25.895721912384033,100,-0.058752283,0.019449949264526367,-62.306569832552874,-0.019771665,20.957077503204346,-65.13730320986596
950000,-60.19716917613127,94,1.1312479637893473,4941.222505092621,27.897454977035522,4.471094131469727,-106.73365642513367,2.2667148113250732,25.605088710784912,100,0.015997266,0.02531909942626953,-62.699812746992386,0.038831707,20.69016671180725,-65.1789044164085
960000,-58.93923226601871,95,1.200005992459999,4968.144331216812,26.90071129798889,4.291400671005249,-106.49666484867222,1.770787239074707,25.11190414428711,100,0.00062288286,0.017678022384643555,-62.479831889604945,0.010607799,20.376245498657227,-65.33689898603215
970000,-59.64599941275986,96,1.3192940668578184,4995.979416131973,27.813828706741333,4.265592575073242,-106.46818347784674,1.5911669731140137,26.201104164123535,100,-0.026645714,0.020191192626953125,-62.448082300536534,-0.005083615,21.48811388015747,-65.50773865901449
980000,-59.784128963298045,97,1.186698313434663,5023.958305120468,27.957451105117798,4.2956862449646,-106.58050208953924,1.7890419960021973,26.147157192230225,100,-0.008171179,0.01986527442932129,-62.553719900714185,-0.00711277,21.4017071723938,-64.98740588546461
990000,-59.9043426071344,98,1.2260437580824672,5052.005182027817,28.02130889892578,4.271876335144043,-106.3525729198049,1.426792860031128,26.410497903823853,100,-0.0009971863,0.04005932807922363,-62.340475355082326,0.0066238036,21.663113117218018,-66.07596845836046
1000000,-59.70873191340719,99,1.2879651789824673,5079.835693836212,27.808642148971558,4.293111324310303,-106.58187295869976,1.7645869255065918,26.024220943450928,100,-0.012832075,0.019405841827392578,-62.555891190026976,-0.008937011,21.292370796203613,-65.65107816014356
1010000,-59.882768091406064,100,1.1691183573275077,5107.5870060920715,27.730231046676636,4.28364896774292,-106.78391726252086,1.739116907119751,25.971889972686768,100,-0.03201835,0.01884007453918457,-62.746983417037946,-0.018492632,21.244771480560303,-65.42345155218624
1020000,-58.9629718185595,101,1.1924646707866957,5134.517842054367,26.909709930419922,4.304907560348511,-106.51139363629657,1.7791447639465332,25.109923124313354,100,-0.004110008,0.02023792266845703,-62.49004821947821,0.004401857,20.361395835876465,-64.93640125338061
1030000,-59.722623710576975,102,1.5347520617195523,5162.143181085587,27.60442090034485,4.4774391651153564,-106.61703895714241,1.6243109703063965,25.960670948028564,100,-0.033111736,0.01904892921447754,-62.587312387847504,-0.030257886,21.033756971359253,-66.36231351262055
