Itr,n_timesteps,Time-SampleProc,Time-Sampling,train-MaxReturn,train-EnvExecTime,train-AverageDiscountedReturn,train-MinReturn,train-NumTrajs,train-StdReturn,Time-Optimization,LossAfter,Time,train-AverageReturn,train-PolicyExecTime,ItrTime,LossBefore
229,2300000,0.05573415756225586,8.056063652038574,102.94549273417289,3.040205717086792,156.6339556552912,-139.45736153828082,100,67.21899365918135,0.26787281036376953,-0.015984198,1972.2092576026917,53.86906107148378,4.771933078765869,8.379912376403809,-2.1362304e-08
230,2310000,0.035117387771606445,8.036687850952148,99.42763810443266,3.0812907218933105,156.72102014432977,-87.94694784837952,100,60.201938429084436,0.2706570625305176,-0.023286443,1980.5690274238586,52.5773617722,4.708564281463623,8.342719078063965,-3.6621095e-08
231,2320000,0.03807234764099121,8.081018686294556,100.19996826700792,3.0259525775909424,162.0678383919455,-173.52759185789324,100,61.166582468913944,0.2695012092590332,-0.0016079125,1988.9754092693329,56.35242498564343,4.808593034744263,8.388854026794434,1.373291e-08
232,2330000,0.07772612571716309,8.244746208190918,100.21394095597464,3.0664947032928467,162.1021430041446,-143.51924862964137,100,59.35922259155581,0.2551727294921875,-0.015477933,1997.5713167190552,56.22426827901317,4.9271159172058105,8.577913999557495,-6.1035155e-09
233,2340000,0.08328986167907715,8.080084562301636,102.00564062682423,3.0445261001586914,143.91635346144284,-135.40858875571283,100,66.04311053303718,0.24602198600769043,-0.008754016,2005.9987823963165,47.359567657177564,4.786347389221191,8.409650325775146,0.00041062926
234,2350000,0.06846404075622559,8.00126314163208,100.60839148285838,3.0590665340423584,175.91275216212563,-112.21267459511988,100,50.6231694150872,0.36594676971435547,-0.014470917,2014.4591681957245,61.09166341694409,4.694070816040039,8.444873094558716,2.6702882e-08
235,2360000,0.05770754814147949,8.049243688583374,101.52135122157743,3.0347704887390137,176.7242104789349,-140.0165169672552,100,51.62655377212729,0.26478099822998047,-0.003946607,2022.8516492843628,62.5397906500036,4.7552032470703125,8.371994972229004,4.2724608e-08
236,2370000,0.03476142883300781,8.149523496627808,96.73014625054672,3.0752065181732178,188.31007072348999,-140.74341523674792,100,39.49632725981773,0.2658843994140625,-0.00911193,2031.3184835910797,66.90196147402884,4.802663803100586,8.450416803359985,3.051758e-08
237,2380000,0.10176301002502441,8.261196613311768,114.58300963158754,3.1397433280944824,178.60483927461263,-124.4170267900107,100,46.9450782865623,0.25883960723876953,-0.01230724,2039.9563248157501,62.46034460891072,4.872258186340332,8.62209439277649,6.1035155e-09
238,2390000,0.06664419174194336,8.000216007232666,94.10530214641712,3.060856819152832,187.08568956129338,-115.76094003942697,100,31.078854089018566,0.25455331802368164,-0.041172076,2048.295487880707,65.97427624198534,4.69268274307251,8.321677684783936,-0.00417518
239,2400000,0.03963351249694824,7.938384771347046,102.27548846038539,3.0120835304260254,196.99750360279745,-144.25977951790463,100,30.532982021037192,0.26984238624572754,-0.02702117,2056.5601234436035,70.35305398600624,4.681594371795654,8.248136043548584,1.2207031e-08
240,2410000,0.04613661766052246,8.036143064498901,91.56864681939169,3.0623974800109863,156.6162303413622,-97.20041847035161,100,40.849633494869515,0.2615375518798828,-0.020925665,2064.921676158905,52.156629446687575,4.726763725280762,8.3440523147583,-0.00076450425
241,2420000,0.07937836647033691,8.026496171951294,92.37147112629512,3.0232653617858887,189.46800379764483,-44.64028522827738,100,29.412893403733793,0.2502608299255371,-0.01734671,2073.296049118042,65.89519348175087,4.760293006896973,8.356388807296753,-2.4414062e-08
242,2430000,0.03881239891052246,8.058202505111694,95.88914800923743,3.037841558456421,190.01086541373658,-6.27781745727045,100,21.491008586652125,0.2698557376861572,-0.01707864,2081.681318283081,66.717191581604,4.768415451049805,8.367108821868896,9.918213e-09
243,2440000,0.05760836601257324,8.150273323059082,91.34483133077626,3.0966989994049072,190.0014279676455,6.364372305687904,100,13.230501227803122,0.3422389030456543,-0.030501075,2090.2489733695984,66.90666253665827,4.805619239807129,8.550375938415527,3.6621095e-08
244,2450000,0.03749394416809082,8.080490827560425,99.8331408687416,3.063361883163452,181.85630046414227,-55.88804834960798,100,22.629078826842875,0.2867410182952881,-0.013615634,2098.671741962433,63.48366789936596,4.769261360168457,8.404967069625854,1.373291e-08
