Itr,ItrTime,train-MinReturn,train-EnvExecTime,train-StdReturn,LossBefore,Time-SampleProc,Time-Sampling,train-AverageDiscountedReturn,train-AverageReturn,train-PolicyExecTime,train-MaxReturn,n_timesteps,LossAfter,train-NumTrajs,Time,Time-Optimization
192,193.92765593528748,-8.042998199323916,3.8516647815704346,3.943585047601706,0.00024429016,0.020645856857299805,190.58476901054382,16.614411978285002,14.353013956054697,186.30757308006287,21.879190601356786,1930000,0.00027192384,100,30628.401818990707,3.3205833435058594
193,198.3629629611969,7.10240380911525,3.9888901710510254,3.0224472905804816,-0.017363409,0.020229101181030273,195.66594696044922,16.989873237055445,14.509263767072852,191.25695943832397,21.279526145085253,1940000,-0.017525729,100,30826.785400867462,2.6746859550476074
194,192.95376205444336,-0.8094464633642161,3.7883360385894775,3.442281434608081,-0.0063837525,0.020144224166870117,189.6446669101715,16.921788529631144,14.527791913425409,185.43805956840515,21.751477219444194,1950000,-0.0064491243,100,31019.759886980057,3.2876031398773193
195,195.8358290195465,7.495675518207316,3.8255701065063477,2.9730751000786206,-0.006206958,0.019011259078979492,192.19668316841125,16.593707426264768,14.29752762735636,187.95368313789368,20.883345114420557,1960000,-0.0070336303,100,31215.61626601219,3.619513988494873
196,197.91720390319824,6.109529740640187,3.98233962059021,3.0978887943516087,0.01087045,0.020522117614746094,195.09567093849182,16.835139116214723,14.374904340411254,190.6892638206482,21.311277793677082,1970000,0.010384642,100,31413.648313999176,2.799654960632324
197,221.3184142112732,-10.31539781838469,4.081420183181763,3.855799894252024,0.003880609,0.021212100982666016,217.3567008972168,15.40919132328584,13.540038765161226,212.82087635993958,20.413445611126814,1980000,0.0034677612,100,31634.988570928574,3.9399311542510986
198,205.33789086341858,7.057993259395098,3.9782564640045166,3.1083159482956124,0.00033237762,0.019331693649291992,201.99451398849487,16.714341250536634,14.45673067335372,197.56519484519958,22.51495908345102,1990000,0.00020151673,100,31840.34795999527,3.3225772380828857
199,189.70443391799927,3.4917970627026462,3.791030168533325,3.2803847895362623,-0.00830874,0.02090907096862793,185.7900049686432,15.958670134081753,13.845991855973505,181.58308625221252,20.667804577150864,2000000,-0.008709738,100,32030.07191991806,3.8931238651275635
200,180.3249008655548,9.016368261437357,3.859377384185791,2.9148757073052693,-0.008509206,0.020723819732666016,177.56722283363342,17.019121555201416,14.552399179251845,173.2837655544281,22.3010604841495,2010000,-0.009025787,100,32210.41658806801,2.7363121509552
201,180.75245785713196,6.429162309842116,3.817079544067383,3.1070050562736267,-0.008223161,0.02154397964477539,178.30530619621277,16.631964059349926,14.394240128289269,174.04454040527344,20.819265093295556,2020000,-0.008184491,100,32391.1870470047,2.424199104309082
202,177.33544421195984,-6.662961176789559,3.7969865798950195,3.700153322365254,-0.013896594,0.022516250610351562,173.73005270957947,16.881210122549664,14.460506934586165,169.5157811641693,21.659988747433783,2030000,-0.013989142,100,32568.542817115784,3.5822641849517822
203,172.74287104606628,6.279313120003275,3.801635503768921,2.7990604131444883,-0.006734413,0.01811504364013672,169.4243242740631,17.11097142683203,14.590306019446498,165.20588278770447,20.29580673428197,2040000,-0.0067780046,100,32741.308524131775,3.299158811569214
204,168.49237704277039,6.595136178527462,3.817586660385132,2.7854651654874565,0.006854042,0.024337053298950195,165.3581371307373,16.058184749249538,13.908110697240861,161.11427545547485,19.810974743660225,2050000,0.0065704607,100,32909.81833195686,3.1086020469665527
205,154.80291891098022,6.541451208070087,3.8754754066467285,2.943277623499469,-0.0033913513,0.021378040313720703,151.6486988067627,17.145651925123158,14.684294060045133,147.34561610221863,21.2932358383651,2060000,-0.0033233063,100,33064.64474987984,3.1324079036712646
206,149.36484813690186,6.463438659212574,3.8352770805358887,2.979764734530544,0.008161148,0.019147872924804688,145.78737998008728,16.37550325768306,14.208847869233436,141.52920246124268,20.399229839866763,2070000,0.007969675,100,33214.0271692276,3.5569589138031006
