LossAfter,train-NumTrajs,n_timesteps,train-MinReturn,train-PolicyExecTime,train-AverageDiscountedReturn,Time,Time-Optimization,Time-Sampling,train-AverageReturn,ItrTime,Itr,LossBefore,train-EnvExecTime,train-MaxReturn,Time-SampleProc,train-StdReturn
-0.014129092,100,720000,0.28377191550590375,41.897369146347046,72.47576229685885,4215.8330800533295,1.9192309379577637,46.137763023376465,32.50447478864266,48.08331799507141,71,-0.005212338,3.8066823482513428,58.42985856316834,0.021845102310180664,16.034685989677445
-0.009539453,100,730000,-38.361856855714045,41.91135001182556,69.68711763426082,4264.11555314064,2.051593065261841,46.18889784812927,31.150840972918505,48.26110577583313,72,-0.004764624,3.8406145572662354,57.36679106451754,0.019958972930908203,19.810004785845916
-0.056831542,100,740000,-22.985752749085357,42.04498910903931,72.13021531183345,4312.496728181839,2.012693166732788,46.32286214828491,32.636297727872034,48.35821294784546,73,-0.02950592,3.8096015453338623,57.870454781048174,0.01969599723815918,17.630142451162783
-0.016880555,100,750000,-22.05787574146496,41.66687488555908,74.05385778064273,4360.419003248215,1.953869104385376,45.92618703842163,33.77830676039158,47.90062403678894,74,0.021168396,3.8252060413360596,58.38368316930574,0.020132064819335938,16.93468474490491
-0.02977179,100,760000,-33.39608205449271,38.59583568572998,72.85766140961401,4405.267393112183,1.9290988445281982,42.87641501426697,33.05903275551891,44.8272340297699,75,0.002502867,3.8491029739379883,55.499577045457904,0.019961833953857422,18.588278257910016
-0.077800095,100,770000,-25.200594348458065,32.08590078353882,72.08217684740578,4443.766666173935,1.9940950870513916,36.46199893951416,31.833320991870075,38.477516174316406,76,-0.015736902,3.943519353866577,58.39455290858092,0.019778728485107422,16.311532784498446
-0.047022827,100,780000,-17.131926682994695,24.301839590072632,70.58095072690992,4474.131543159485,1.7318170070648193,28.589646100997925,31.388594037558,30.34320902824402,77,0.0005188599,3.8524410724639893,54.6565328893652,0.020315885543823242,15.93280120233789
-0.062239442,100,790000,-49.541856959631126,22.84450078010559,72.38026592764815,4502.836618185043,1.5753872394561768,27.08697509765625,33.071186670183614,28.683204889297485,78,-0.0029427735,3.8146488666534424,58.05010704632728,0.019471168518066406,19.650155021831388
-0.019583521,100,800000,-11.67163098288689,21.752261877059937,75.43997849850551,4530.496098041534,1.6040902137756348,26.011173963546753,34.387640879997846,27.6372549533844,79,0.006893689,3.824597120285034,59.49053924743761,0.020643234252929688,16.369478690143453
-0.090270504,100,810000,-32.65446513235142,21.01638388633728,75.28508067396578,4557.325011968613,1.5799729824066162,25.205078840255737,35.34100475309191,26.80673599243164,80,-0.002992334,3.75732421875,56.311852572932686,0.020170927047729492,16.80174254248963
