train-AverageReturn,LossAfter,train-NumTrajs,Time-Sampling,Itr,LossBefore,Time-Optimization,ItrTime,train-AverageDiscountedReturn,n_timesteps,train-PolicyExecTime,Time,train-MinReturn,train-MaxReturn,Time-SampleProc,train-EnvExecTime,train-StdReturn
-61.80710747369332,0.019998956,100,27.486525058746338,173,0.032942932,1.8041837215423584,29.310821056365967,-105.7982379389974,1740000,22.906278133392334,12509.199438095093,-64.14023269207779,-59.70986532411461,0.019603967666625977,4.130052804946899,0.8842819926529547
-61.68635324331763,0.015338205,100,26.467267990112305,174,0.013418446,1.8295469284057617,28.317652940750122,-105.6741205157128,1750000,21.94149684906006,12537.538249015808,-64.71475699029274,-59.899966559023255,0.020313262939453125,4.075885534286499,0.8971474754201202
-61.91639584814013,-0.014104741,100,29.064034700393677,175,-0.0100431545,1.7461068630218506,30.831028938293457,-105.91041940920513,1760000,24.212512254714966,12568.3916721344,-64.66768568841461,-59.83062383715897,0.01940178871154785,4.38085150718689,1.029699316020589
-61.720316129474924,-0.04747987,100,35.20497703552246,176,-0.017079333,4.575674057006836,39.80201601982117,-105.7103028544061,1770000,30.302221298217773,12608.21531701088,-65.0961306617149,-59.27962182700541,0.01862025260925293,4.426892042160034,0.9542571858018666
-61.794687730850555,-0.027265683,100,34.74276614189148,177,-0.018985331,1.8813560009002686,36.64573693275452,-105.78581465938058,1780000,29.585592031478882,12644.885333061218,-64.42657273714384,-58.85222295779745,0.020023822784423828,4.655908823013306,0.904905073025409
-61.85756006205477,-0.01243414,100,27.48204016685486,178,0.008012596,1.8642330169677734,29.36680507659912,-105.84746914432442,1790000,22.810981512069702,12674.273733139038,-65.32309992410882,-59.85127758121514,0.019912004470825195,4.2119834423065186,1.00704409429203
-61.81917759448038,-0.0020076553,100,27.651746034622192,179,-0.005756219,1.8553948402404785,29.527989864349365,-105.8127160366078,1800000,22.85498046875,12703.821925878525,-64.76375342512854,-60.287100292052266,0.020371198654174805,4.1597900390625,0.9806656075176652
-61.88842477749148,-0.010202076,100,26.64891219139099,180,0.00062802277,1.7657768726348877,28.435054779052734,-105.88450323932032,1810000,21.996954679489136,12732.278141021729,-65.16060435450892,-58.91824233796897,0.019652843475341797,4.198434591293335,1.1018358783742639
-61.81086120677361,0.0059940964,100,27.077754974365234,181,0.018791322,1.8209538459777832,28.919997215270996,-105.80209113035326,1820000,22.576625108718872,12761.218230962753,-65.2734435162768,-59.1974405514894,0.020739078521728516,4.059603691101074,1.0407300882159527
-61.79436301346007,-0.03240198,100,26.804301023483276,182,-0.010946447,1.8257899284362793,28.652618885040283,-105.78623235264989,1830000,22.19249129295349,12789.892569065094,-66.09929879640552,-59.495090955967605,0.021023988723754883,4.132127046585083,0.926808281979044
-61.86587680211506,-0.011754911,100,26.587886810302734,183,0.016915984,1.7912650108337402,28.400191068649292,-105.85981098747223,1840000,22.017231225967407,12818.313946008682,-64.80447441109565,-60.285335102209686,0.019505977630615234,4.122007369995117,0.8764122143119465
-61.894481226959435,-0.06323737,100,26.515016078948975,184,-0.020606827,1.8420300483703613,28.37824511528015,-105.89057538251126,1850000,21.97202444076538,12846.713675022125,-65.1145619323883,-59.63666770829689,0.02075791358947754,4.0708441734313965,0.9706040184580177
