n_timesteps,Time,train-AverageDiscountedReturn,train-MaxReturn,LossBefore,Time-Sampling,train-StdReturn,ItrTime,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,Time-Optimization,train-EnvExecTime
790000,18045.814135074615,303.7185899248081,177.1552662994999,0.013751845,174.79185795783997,2.109908802775701,179.2460479736328,0.020663738250732422,0.008168575,78,167.03372621842047,173.3174823355743,100,169.75572562217712,4.432017803192139,4.573282718658447
800000,18227.471611976624,303.9421298956662,178.84652636426523,0.010604328,177.9562361240387,2.12067534552084,181.63312482833862,0.030791759490966797,0.007925044,79,167.64167551106203,173.36364042740158,100,172.39344811439514,3.644886016845703,5.153841257095337
810000,18401.048164129257,303.68266391790416,178.5420715252684,0.0014443664,169.75211596488953,2.035935826033652,173.54809594154358,0.04064798355102539,-0.0015901688,80,167.58612688139357,173.28212336356435,100,164.8236837387085,3.75467586517334,4.518478631973267
820000,18578.302733898163,303.5121862546603,177.8999997897644,-0.0125532495,173.41365313529968,2.2332883430451322,177.2334861755371,0.02144312858581543,-0.01703714,81,166.49258654247234,173.20734106215681,100,168.53143048286438,3.796924114227295,4.478090524673462
830000,18752.203909158707,302.93533565843904,177.5214085140628,0.007386852,170.51343202590942,1.9399725281990698,173.87847805023193,0.021722078323364258,0.007269411,82,168.56707945752672,172.97439283272215,100,165.52258396148682,3.341895818710327,4.591837167739868
840000,18921.735558986664,302.9601560638357,178.68434842841307,-0.0036112634,166.31813216209412,2.0763304250189494,169.48825192451477,0.01924896240234375,-0.004459239,83,167.11447684353647,173.00459079458818,100,161.3782320022583,3.1493711471557617,4.5151448249816895
850000,19084.649527072906,302.91828561698827,179.01245478568308,0.0006851463,159.4085009098053,2.41496208402316,162.89412307739258,0.020340919494628906,-0.00046692733,84,167.7720719611791,172.98345034628284,100,154.44805526733398,3.464637279510498,4.541044235229492
860000,19262.14312005043,303.9483068711846,177.79839490450954,-0.008602326,174.06605005264282,2.126846567861675,177.47358798980713,0.01889204978942871,-0.009085072,85,168.0403046640443,173.41981125482727,100,169.09062838554382,3.387112855911255,4.563122272491455
870000,19434.35517191887,303.0884147229307,178.31445101741343,-0.006911064,167.85914397239685,2.182253764690697,172.19209909439087,0.01802968978881836,-0.007920682,86,166.91675063932357,173.04481121135512,100,162.88973212242126,4.312678337097168,4.5607500076293945
880000,19603.7128098011,302.68432371617104,178.3974439496077,0.017103668,165.81066703796387,2.006522880133634,169.3348081111908,0.021007776260375977,0.016747454,87,167.0023125692896,172.87901935773826,100,160.85026836395264,3.50227689743042,4.535228967666626
