n_timesteps,train-AverageReturn,train-AverageDiscountedReturn,train-MaxReturn,Itr,Time-Sampling,train-NumTrajs,train-PolicyExecTime,Time-SampleProc,train-StdReturn,LossAfter,train-EnvExecTime,Time-Optimization,train-MinReturn,Time,ItrTime,LossBefore
1630000,-41.775062548938415,-94.77891780500691,137.4218772593596,162,37.36429405212402,100,32.57766509056091,0.061821937561035156,71.08854379192992,-0.03473975,4.306924343109131,5.456987142562866,-170.6756673436744,5816.072574853897,42.88591003417969,8.5449216e-08
1640000,-32.24333052867552,-77.50413078646798,136.1362603760219,163,44.57214331626892,100,39.600334882736206,0.08925127983093262,69.66981631904414,-0.02899798,4.459125995635986,2.1049771308898926,-207.4305277975165,5862.8757219314575,46.76733684539795,-6.1035155e-09
1650000,-36.542353234193044,-81.44726480458661,134.05736862385498,164,31.867931842803955,100,27.16753911972046,0.07205319404602051,67.90565598028762,-0.056245223,4.206717252731323,1.8797860145568848,-169.86549936337508,5896.731426000595,33.820205211639404,1.9836426e-08
1660000,-42.25422940451227,-93.2009879813085,122.55982410554347,165,28.973326206207275,100,24.83216905593872,0.04675698280334473,66.61041038774111,-0.06625649,3.7274744510650635,1.609989881515503,-197.11617605116075,5927.385342121124,30.631537914276123,3.6621095e-08
1670000,-29.872091359918237,-67.26181305756208,155.6120168222902,166,49.950929164886475,100,44.93640923500061,0.05709075927734375,70.56647271719243,-0.036108155,4.522434949874878,2.5296778678894043,-163.35655184744684,5979.9462950229645,52.53857898712158,-5.1879884e-08
1680000,-26.995489384676713,-60.39445538695437,169.6307484963855,167,42.315165996551514,100,37.34112596511841,0.10316324234008789,67.82533642724839,-0.08172041,4.45367693901062,1.9552156925201416,-154.43724910181044,6024.347779035568,44.37568116188049,-7.6293944e-08
1690000,-25.799484715258274,-59.13768823333193,138.21068120486498,168,29.119828939437866,100,24.87602710723877,0.05662226676940918,72.3946238481333,-0.12000011,3.8044660091400146,1.9644320011138916,-202.5786061890082,6055.513957023621,31.141314268112183,-2.1362304e-08
1700000,-28.14904112640462,-61.67465022722922,158.2678209184814,169,36.6911358833313,100,32.00035214424133,0.10233378410339355,71.69650094932351,-0.093618214,4.201763868331909,2.8313660621643066,-226.7620349953403,6095.163486242294,39.62664771080017,-9.1552735e-08
1710000,-32.345857988619294,-70.71508531723356,117.53944634547307,170,40.80868911743164,100,36.171552896499634,0.09647393226623535,66.87657632134237,-0.053647052,4.1653759479522705,2.408982992172241,-231.56771495936783,6138.523082971573,43.31617593765259,1.5258789e-09
1720000,-31.076841276761346,-66.79690516272541,162.98732168087446,171,33.795217990875244,100,29.30592131614685,0.05839824676513672,66.2658094281499,-0.41802052,4.046919107437134,1.6312458515167236,-208.10049001317745,6174.03203701973,35.48670816421509,4.8828124e-08
1730000,-40.22108469868348,-87.10560763397528,102.9942587315355,172,31.196243047714233,100,26.823368549346924,0.07238483428955078,63.713294854224266,-0.06992295,3.928098201751709,2.6103880405426025,-175.54186241746754,6207.934926986694,33.88060021400452,-2.5939942e-08
1740000,-37.49359305033309,-77.82691870361356,107.74127322749196,173,31.724422216415405,100,27.44221591949463,0.0678398609161377,63.577758129278074,-0.101364985,3.852081775665283,2.053983211517334,-188.59493427476485,6241.806814908981,33.84689474105835,3.0517577e-09
1750000,-47.713598161607344,-102.25345070519225,124.15947264789642,174,30.330025911331177,100,26.129453420639038,0.049938201904296875,64.97270720114689,-0.060316615,3.7467453479766846,1.576671838760376,-215.8640599505497,6273.788130998611,31.958032846450806,-1.0986328e-07
1760000,-42.526246831321465,-89.53797681841877,150.67051143258988,175,32.49751281738281,100,28.253838777542114,0.0461268424987793,70.06729371146024,-0.088167205,3.8070755004882812,1.7632501125335693,-220.64387722397512,6308.118499040604,34.308347940444946,-1.2207031e-08
1770000,-35.34693780595936,-75.4966535213008,140.8668540729171,176,30.8468918800354,100,26.684739112854004,0.05333900451660156,62.46883459701077,-0.06204696,3.7425074577331543,1.7087950706481934,-164.31489101182675,6340.751054048538,32.61061692237854,9.1552735e-08
